Model,risk,A,B,C,D,E,MSE,MAE,RMSE,Bias,emp_SE,mard
Lerp,1.2485244843682577,0.3501220930232558,0.1912529069767441,0.3283488372093023,0.1300843023255814,0.0001918604651162,19838.2109375,107.42713928222656,140.8481903076172,-98.317138671875,100.85620880126953,42.205684661865234
CSDI,0.9360143161152684,0.4468401162790698,0.2521744186046512,0.2510813953488372,0.0499040697674418,0.0,15058.4736328125,92.76190185546875,122.71297454833984,-60.4028205871582,106.817626953125,42.37409973144531
SAITS,1.0194798446477846,0.3494941860465116,0.339,0.291828488372093,0.0196773255813953,0.0,15954.4990234375,100.12264251708984,126.31111907958984,-61.697784423828125,110.21759796142578,47.2723388671875
FreTS,1.3281727087331372,0.2984680232558139,0.2210261627906976,0.3469418604651162,0.1325610465116279,0.0010029069767441,20838.9609375,112.67318725585938,144.3570556640625,-95.98429870605469,107.82396697998047,46.68574523925781
SCINet,1.1059957592986351,0.3449040697674418,0.2870523255813954,0.3098110465116279,0.0582325581395348,0.0,17481.24609375,103.90570831298828,132.21665954589844,-73.09667205810547,110.1733169555664,46.67507553100586
TimeMixer,2.777967405585356,0.0177674418604651,0.0554912790697674,0.2299941860465116,0.4896627906976744,0.2070843023255814,41889.9609375,173.1371307373047,204.6703643798828,-173.1162872314453,109.18218994140625,71.98876190185547
TimeMixerPP,1.9679346885681157,0.1846482558139535,0.1246656976744186,0.2284883720930232,0.4321860465116279,0.0300116279069767,32221.462890625,144.1861114501953,179.5033721923828,-140.79547119140625,111.34693145751953,56.529052734375
TSLANet,2.5982575438743414,0.052531976744186,0.0771540697674418,0.2250494186046511,0.4790494186046511,0.1662151162790697,39858.8359375,167.07322692871094,199.6467742919922,-166.45176696777344,110.23920440673828,68.79545593261719
TEFN,1.3147711360399112,0.3241424418604651,0.1864883720930232,0.3457441860465116,0.1433691860465116,0.0002558139534883,21671.896484375,113.83888244628906,147.21377563476562,-95.91889953613281,111.67585754394531,46.222320556640625
TOTEM,2.716317245793897,0.0306656976744186,0.071953488372093,0.2221511627906977,0.4653459302325581,0.2098837209302325,41489.69140625,170.9199981689453,203.690185546875,-170.89340209960938,110.83853149414062,70.21619415283203
GPT4TS,1.2122536058647688,0.3372093023255814,0.2235494186046511,0.3460436046511628,0.0931976744186046,0.0,19530.03125,108.48210144042969,139.74989318847656,-84.70441436767578,111.15406799316406,45.914581298828125
LOCF,1.297584472478822,0.3223430232558139,0.1907674418604651,0.3627354651162791,0.1214505813953488,0.002703488372093,20790.517578125,111.70174407958984,144.18917846679688,-95.87813568115234,107.69371795654297,45.799705505371094
Median,1.3445378024966217,0.3176220930232558,0.1622587209302325,0.3587848837209302,0.1613343023255814,0.0,21868.84765625,113.66160583496094,147.88119506835938,-100.1357192993164,108.81964874267578,44.74266815185547
Mean,1.1464882777901584,0.3448168604651163,0.2315058139534883,0.4236773255813953,0.0,0.0,18083.810546875,104.57115936279297,134.47605895996094,-79.00713348388672,108.81964111328125,44.972312927246094
