Model,risk,A,B,C,D,E,MSE,MAE,RMSE,Bias,emp_SE,mard,dtw
Lerp,0.5167095244639476,0.663556798545185,0.2128011652309561,0.1127093774374399,0.0109326587864188,0.0,8279.4423828125,69.70635223388672,90.99143981933594,-62.46591567993164,66.1624526977539,24.998502731323242,271.247430750195
CSDI,0.3571229255111537,0.7623428726562871,0.1543500088340364,0.0802001232455819,0.0031069952640945,0.0,5433.2802734375,51.244850158691406,73.71078491210938,-42.31828308105469,60.352787017822266,18.873491287231445,213.6324004793505
SAITS,0.9758826354894462,0.4375692179076692,0.206070060373098,0.3232697139064971,0.0330910078127356,0.0,15283.0478515625,97.04824829101562,123.62462615966797,-92.48322296142578,82.03614807128906,33.94111633300781,353.1227443174929
FreTS,0.8037834180795752,0.4458775214710179,0.3704305407723102,0.1765988528680453,0.0070930848886265,0.0,15077.052734375,100.06275177001953,122.78865051269531,-88.57594299316406,85.03755187988281,34.44563293457031,400.17968164686727
SCINet,1.6361175223986506,0.181976841896603,0.1791240945112623,0.4528068534885826,0.1860922101035521,0.0,28935.546875,144.8928680419922,170.10452270507812,-143.98043823242188,90.58264923095703,48.12351989746094,648.8426841209189
TimeMixer,3.1638906326306766,0.0011548886695941,0.0032879852794787,0.1037158973872798,0.5865369284270675,0.3053043002365798,58226.37109375,222.64910888671875,241.30140686035156,-222.64837646484375,93.02737426757812,80.53629302978516,1294.4143685512759
TimeMixerPP,2.225872150344653,0.0782652537954037,0.1151699797894482,0.2850161813692325,0.4988257195430433,0.0227228655028721,40405.4453125,178.59156799316406,201.0110626220703,-178.27752685546875,92.85799407958984,62.13674545288086,840.0482635983371
TSLANet,2.997008167276495,0.0139276126124185,0.0228866183739339,0.1295673045846494,0.5705236213516507,0.2630948430773474,55914.07421875,216.00381469726562,236.46156311035156,-215.8968505859375,96.45030212402344,77.38229370117188,1176.2697509635557
TEFN,1.5189075509341203,0.209060704913017,0.1766419457288511,0.5031910263426658,0.1093222785781079,0.001784044437358,26617.125,138.44798278808594,163.14755249023438,-132.12928771972656,95.7027587890625,46.66352081298828,767.6250847370162
TOTEM,3.152764349958945,0.0018616115868084,0.0092089443541888,0.1212590010213008,0.5191483126990352,0.3485221303386668,58757.08984375,222.9126739501953,242.39862060546875,-222.91226196289062,95.22210693359375,80.38933563232422,1167.5017687131276
GPT4TS,1.2500273406500704,0.276139052043248,0.2473918045997319,0.4439685077373231,0.0325006356196968,0.0,21719.24609375,122.95401763916016,147.37451171875,-112.72673797607422,94.9313735961914,41.95065689086914,368.4219707805074
LOCF,1.375419363445811,0.3064591889061739,0.1872341709149045,0.3408817661178072,0.1537165437801919,0.0117083302809223,24780.1953125,128.06130981445312,157.41726684570312,-123.25590515136719,97.91947174072266,42.91347885131836,802.0614350317248
Median,1.7571784722850077,0.1673425063669701,0.0907664927151518,0.5232895366224678,0.2186014642954102,0.0,30869.357421875,150.57171630859375,175.69677734375,-148.06442260742188,94.58499145507812,49.96010971069336,918.1534861020335
Mean,1.444686339875169,0.202083970748566,0.1992269140771448,0.598689115174289,0.0,0.0,24777.845703125,133.14883422851562,157.40980529785156,-125.82353210449219,94.58499908447266,44.59492874145508,814.2696984257848
